INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location,_id,CATEGORY
202022639,3207,PROPERTY - FOUND,B2,289,0,2020-01-01 06:00:00,2020,1,Wednesday,6,TREMONT ST,42.334024613103,-71.0903904946831,"(42.334024613103, -71.0903904946831)",,misc
202000123,3112,LANDLORD - TENANT,B2,265,0,2020-01-01 12:06:00,2020,1,Wednesday,12,WAVERLY ST,42.3203767103949,-71.0790344661256,"(42.3203767103949, -71.0790344661256)",,misc
202000252,3110,SERVICE TO OTHER AGENCY,D4,273,0,2020-01-01 23:15:00,2020,1,Wednesday,23,CAMDEN ST,42.337441144368,-71.0805767102789,"(42.337441144368, -71.0805767102789)",,misc
202022651,3207,PROPERTY - FOUND,B2,289,0,2020-01-02 00:00:00,2020,1,Thursday,0,TREMONT ST,42.334024613103,-71.0903904946831,"(42.334024613103, -71.0903904946831)",,misc
202000467,3207,PROPERTY - FOUND,A7,30,0,2020-01-02 17:57:00,2020,1,Thursday,17,FRANKFORT ST,42.3695622219378,-71.0354483379222,"(42.3695622219378, -71.0354483379222)",,misc
202000469,3106,PROPERTY - ACCIDENTAL DAMAGE,E18,540,0,2020-01-02 18:24:00,2020,1,Thursday,18,RIVER ST,42.2488659572728,-71.1312225546799,"(42.2488659572728, -71.1312225546799)",,misc
202000468,3207,PROPERTY - FOUND,D14,454,0,2020-01-02 18:41:00,2020,1,Thursday,18,NEWTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)",,misc
202000537,3112,LANDLORD - TENANT,B3,407,0,2020-01-02 20:48:00,2020,1,Thursday,20,RIVER ST,42.2718917193161,-71.0716375459255,"(42.2718917193161, -71.0716375459255)",,misc
202022648,3207,PROPERTY - FOUND,B2,289,0,2020-01-03 00:00:00,2020,1,Friday,0,TREMONT ST,42.334024613103,-71.0903904946831,"(42.334024613103, -71.0903904946831)",,misc
202022646,3207,PROPERTY - FOUND,B2,289,0,2020-01-03 00:00:00,2020,1,Friday,0,TREMONT ST,42.334024613103,-71.0903904946831,"(42.334024613103, -71.0903904946831)",,misc
202000557,3106,PROPERTY - ACCIDENTAL DAMAGE,D4,162,0,2020-01-03 00:49:00,2020,1,Friday,0,ALBANY ST,42.3449158046805,-71.0616993820054,"(42.3449158046805, -71.0616993820054)",,misc
202000566,3110,SERVICE TO OTHER AGENCY,C11,249,0,2020-01-03 06:30:00,2020,1,Friday,6,TUTTLE ST,42.3135188586504,-71.0535630034927,"(42.3135188586504, -71.0535630034927)",,misc
202000765,3207,PROPERTY - FOUND,D14, ,0,2020-01-03 18:04:00,2020,1,Friday,18,BOTHWELL RD,42.3532007711877,-71.1609313611684,"(42.3532007711877, -71.1609313611684)",,misc
202000872,3207,PROPERTY - FOUND,E13,574,0,2020-01-04 08:00:00,2020,1,Saturday,8,BARDWELL ST,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)",,misc
